SIDO_DISTR,SIDO__DISTR,SIDO_NM,VOTE_POP,VOTE_CNT,VOTE_SPLT_POP,VOTE_SPLT_CNT,SCS_CD,SCS_PRT,CAN1,CAN1_PRT,CAN1_CNT,CAN2,CAN2_PRT,CAN2_CNT,CAN3,CAN3_PRT,CAN3_CNT,CAN4,CAN4_PRT,CAN4_CNT
강원특별자치도강릉시,강원특별자치도_강릉시,강원특별자치도,183878,120669,63209,1313,권성동,국민의힘,김중남,더불어민주당,51731,권성동,국민의힘,64743,이영랑,개혁신당,2882,0,0,0
강원특별자치도동해시태백시삼척시정선군,강원특별자치도_동해시태백시삼척시정선군,강원특별자치도,196849,129564,67285,1633,이철규,국민의힘,한호연,더불어민주당,46674,이철규,국민의힘,78325,류성호,개혁신당,2932,0,0,0
강원특별자치도속초시인제군고성군양양군,강원특별자치도_속초시인제군고성군양양군,강원특별자치도,148964,99218,49746,1204,이양수,국민의힘,김도균,더불어민주당,43276,이양수,국민의힘,54738,0,0,0,0,0,0
강원특별자치도원주시갑,강원특별자치도_원주시갑,강원특별자치도,159375,103607,55768,1071,박정하,국민의힘,원창묵,더불어민주당,50534,박정하,국민의힘,52002,0,0,0,0,0,0
강원특별자치도원주시을,강원특별자치도_원주시을,강원특별자치도,148344,98786,49558,947,송기헌,더불어민주당,송기헌,더불어민주당,52920,김완섭,국민의힘,44919,0,0,0,0,0,0
강원특별자치도춘천시철원군화천군양구군갑,강원특별자치도_춘천시철원군화천군양구군갑,강원특별자치도,196972,132947,64025,1452,"
허영",더불어민주당,허영,더불어민주당,70273,김혜란,국민의힘,58542,조일현,새로운미래,1402,오정규,무소속,1278
강원특별자치도춘천시철원군화천군양구군을,강원특별자치도_춘천시철원군화천군양구군을,강원특별자치도,124089,82649,41440,1197,한기호,국민의힘,전성,더불어민주당,33774,한기호,국민의힘,43935,이호범,무소속,3743,0,0,0
강원특별자치도홍천군횡성군영월군평창군,강원특별자치도_홍천군횡성군영월군평창군,강원특별자치도,173056,119594,53462,1380,유상범,국민의힘,허필홍,더불어민주당,49988,유상범,국민의힘,68226,0,0,0,0,0,0
경기도고양시갑,경기도_고양시갑,경기도,228942,154997,73945,1344,김성회,더불어민주당,김성회,더불어민주당,69617,한창섭,국민의힘,54308,심상정,녹색정의당,28293,김성남,무소속,1435
경기도고양시병,경기도_고양시병,경기도,236926,159334,77592,1868,이기헌,더불어민주당,이기헌,더불어민주당,85134,김종혁,국민의힘,72332,0,0,0,0,0,0
경기도고양시을,경기도_고양시을,경기도,229773,160599,69174,1569,한준호,더불어민주당,한준호,더불어민주당,97402,장석환,국민의힘,59375,정일권,무소속,2253,0,0,0
경기도고양시정,경기도_고양시정,경기도,227947,157917,70030,1870,김영환,더불어민주당,김영환,더불어민주당,85660,김용태,국민의힘,70387,0,0,0,0,0,0
경기도광명시갑,경기도_광명시갑,경기도,113596,82215,31381,974,임오경,더불어민주당,임오경,더불어민주당,47716,김기남,국민의힘,33525,0,0,0,0,0,0
경기도광명시을,경기도_광명시을,경기도,125172,89475,35697,1418,김남희,더불어민주당,김남희,더불어민주당,52455,전동석,국민의힘,35602,0,0,0,0,0,0
경기도광주시갑,경기도_광주시갑,경기도,163581,105196,58385,1122,소병훈,더불어민주당,소병훈,더불어민주당,58631,함경우,국민의힘,45443,0,0,0,0,0,0
경기도광주시을,경기도_광주시을,경기도,170215,106373,63842,1163,안태준,더불어민주당,안태준,더불어민주당,57935,황명주,국민의힘,47275,0,0,0,0,0,0
경기도구리시,경기도_구리시,경기도,161475,111029,50446,1111,윤호중,더불어민주당,윤호중,더불어민주당,59331,나태근,국민의힘,47620,김구영,개혁신당,2967,0,0,0
경기도군포시,경기도_군포시,경기도,226042,159244,66798,1911,이학영,더불어민주당,이학영,더불어민주당,89561,최진학,국민의힘,67772,0,0,0,0,0,0
경기도김포시갑,경기도_김포시갑,경기도,186262,129846,56416,1169,김주영,더불어민주당,김주영,더불어민주당,69836,박진호,국민의힘,58841,0,0,0,0,0,0
경기도김포시을,경기도_김포시을,경기도,209555,135635,73920,1362,박상혁,더불어민주당,박상혁,더불어민주당,74556,홍철호,국민의힘,59717,0,0,0,0,0,0
경기도남양주시갑,경기도_남양주시갑,경기도,180754,114849,65905,1041,최민희,더불어민주당,최민희,더불어민주당,58135,유낙준,국민의힘,40670,조응천,개혁신당,15003,0,0,0
경기도남양주시병,경기도_남양주시병,경기도,225084,154132,70952,1372,김용민,더불어민주당,김용민,더불어민주당,83387,조광한,국민의힘,64539,정재준,개혁신당,4834,0,0,0
경기도남양주시을,경기도_남양주시을,경기도,208484,132976,75508,1220,김병주,더불어민주당,김병주,더불어민주당,75031,곽관용,국민의힘,53774,안만규,개혁신당,2951,0,0,0
경기도동두천시양주시연천군갑,경기도_동두천시양주시연천군갑,경기도,218378,137841,80537,1472,정성호,더불어민주당,정성호,더불어민주당,82186,안기영,국민의힘,54183,0,0,0,0,0,0
경기도동두천시양주시연천군을,경기도_동두천시양주시연천군을,경기도,125278,80014,45264,1081,김성원,국민의힘,남병근,더불어민주당,36540,김성원,국민의힘,42393,0,0,0,0,0,0
경기도부천시갑,경기도_부천시갑,경기도,232632,142442,90190,2071,서영석,더불어민주당,서영석,더불어민주당,85815,김복덕,국민의힘,54556,0,0,0,0,0,0
경기도부천시병,경기도_부천시병,경기도,233948,158059,75889,2141,이건태,더불어민주당,이건태,더불어민주당,84886,하종대,국민의힘,59312,장덕천,새로운미래,11720,0,0,0
경기도부천시을,경기도_부천시을,경기도,214471,149414,65057,1877,김기표,더불어민주당,김기표,더불어민주당,82475,박성중,국민의힘,55975,설훈,새로운미래,9087,0,0,0
경기도성남시분당구갑,경기도_성남시분당구갑,경기도,214158,165167,48991,1274,안철수,국민의힘,이광재,더불어민주당,76578,안철수,국민의힘,87315,0,0,0,0,0,0
경기도성남시분당구을,경기도_성남시분당구을,경기도,182451,136901,45550,1446,김은혜,국민의힘,김병욱,더불어민주당,66196,김은혜,국민의힘,69259,0,0,0,0,0,0
경기도성남시수정구,경기도_성남시수정구,경기도,209986,140337,69649,1963,김태년,더불어민주당,김태년,더불어민주당,80835,장영하,국민의힘,57539,0,0,0,0,0,0
경기도성남시중원구,경기도_성남시중원구,경기도,186583,124326,62257,1797,이수진,더불어민주당,이수진,더불어민주당,73661,윤용근,국민의힘,48868,0,0,0,0,0,0
경기도수원시갑,경기도_수원시갑,경기도,200396,137505,62891,1468,김승원,더불어민주당,김승원,더불어민주당,75562,김현준,국민의힘,57366,정희윤,개혁신당,3109,0,0,0
경기도수원시무,경기도_수원시무,경기도,227030,150492,76538,1922,염태영,더불어민주당,염태영,더불어민주당,87665,박재순,국민의힘,60905,0,0,0,0,0,0
경기도수원시병,경기도_수원시병,경기도,182482,117975,64507,1573,김영진,더불어민주당,김영진,더불어민주당,64505,방문규,국민의힘,51897,0,0,0,0,0,0
경기도수원시을,경기도_수원시을,경기도,213733,142223,71510,1826,백혜련,더불어민주당,백혜련,더불어민주당,86677,홍윤오,국민의힘,53720,0,0,0,0,0,0
경기도수원시정,경기도_수원시정,경기도,201075,142081,58994,4696,김준혁,더불어민주당,김준혁,더불어민주당,69881,이수정,국민의힘,67504,0,0,0,0,0,0
경기도시흥시갑,경기도_시흥시갑,경기도,221338,147434,73904,1621,문정복,더불어민주당,문정복,더불어민주당,88676,정필재,국민의힘,55817,윤석창,자유통일당,1320,0,0,0
경기도시흥시을,경기도_시흥시을,경기도,212474,127336,85138,1392,조정식,더불어민주당,조정식,더불어민주당,71207,김윤식,국민의힘,49828,김상욱,새로운미래,4909,0,0,0
경기도안산시갑,경기도_안산시갑,경기도,170398,104875,65523,2308,양문석,더불어민주당,양문석,더불어민주당,57050,장성민,국민의힘,45517,0,0,0,0,0,0
경기도안산시병,경기도_안산시병,경기도,181427,110841,70586,1367,박해철,더불어민주당,박해철,더불어민주당,59317,김명연,국민의힘,47175,이혜숙,개혁신당,2982,0,0,0
경기도안산시을,경기도_안산시을,경기도,197297,121951,75346,1789,"
김현",더불어민주당,김현,더불어민주당,67547,서정현,국민의힘,45645,홍장표,무소속,6970,0,0,0
경기도안성시,경기도_안성시,경기도,165008,104616,60392,1068,윤종군,더불어민주당,윤종군,더불어민주당,52517,김학용,국민의힘,49049,박경윤,개혁신당,1982,0,0,0
경기도안양시동안구갑,경기도_안양시동안구갑,경기도,138721,100467,38254,1241,민병덕,더불어민주당,민병덕,더불어민주당,56891,임재훈,국민의힘,42335,0,0,0,0,0,0
경기도안양시동안구을,경기도_안양시동안구을,경기도,129800,98248,31552,1249,이재정,더불어민주당,이재정,더불어민주당,52248,심재철,국민의힘,44751,0,0,0,0,0,0
경기도안양시만안구,경기도_안양시만안구,경기도,203664,140494,63170,1686,강득구,더불어민주당,강득구,더불어민주당,78924,최돈익,국민의힘,59884,0,0,0,0,0,0
경기도여주시양평군,경기도_여주시양평군,경기도,211775,141557,70218,1748,김선교,국민의힘,최재관,더불어민주당,64893,김선교,국민의힘,74916,0,0,0,0,0,0
