"행정구역","2024년03월_계_총인구수","2024년03월_계_연령구간인구수","2024년03월_계_0~9세","2024년03월_계_10~19세","2024년03월_계_20~29세","2024년03월_계_30~39세","2024년03월_계_40~49세","2024년03월_계_50~59세","2024년03월_계_60~69세","2024년03월_계_70~79세","2024년03월_계_80~89세","2024년03월_계_90~99세","2024년03월_계_100세 이상","2024년03월_남_총인구수","2024년03월_남_연령구간인구수","2024년03월_남_0~9세","2024년03월_남_10~19세","2024년03월_남_20~29세","2024년03월_남_30~39세","2024년03월_남_40~49세","2024년03월_남_50~59세","2024년03월_남_60~69세","2024년03월_남_70~79세","2024년03월_남_80~89세","2024년03월_남_90~99세","2024년03월_남_100세 이상","2024년03월_여_총인구수","2024년03월_여_연령구간인구수","2024년03월_여_0~9세","2024년03월_여_10~19세","2024년03월_여_20~29세","2024년03월_여_30~39세","2024년03월_여_40~49세","2024년03월_여_50~59세","2024년03월_여_60~69세","2024년03월_여_70~79세","2024년03월_여_80~89세","2024년03월_여_90~99세","2024년03월_여_100세 이상"
"서울특별시  (1100000000)","9,384,739","9,384,739","504,805","733,051","1,348,801","1,426,416","1,412,882","1,496,980","1,321,940","747,041","344,599","46,724","1,500","4,536,128","4,536,128","258,848","374,512","638,347","713,489","699,164","735,830","625,662","337,871","139,521","12,538","346","4,848,611","4,848,611","245,957","358,539","710,454","712,927","713,718","761,150","696,278","409,170","205,078","34,186","1,154"
"서울특별시 종로구 (1111000000)","139,498","139,498","5,778","9,764","21,617","19,301","19,057","23,770","20,862","11,618","6,675","1,016","40","67,228","67,228","2,925","4,760","10,183","9,625","9,238","11,742","10,440","5,293","2,682","330","10","72,270","72,270","2,853","5,004","11,434","9,676","9,819","12,028","10,422","6,325","3,993","686","30"
"서울특별시 종로구 청운효자동(1111051500)","11,277","11,277","579","1,072","1,386","1,494","1,849","1,921","1,427","908","547","88","6","5,136","5,136","304","544","667","677","804","866","655","367","221","29","2","6,141","6,141","275","528","719","817","1,045","1,055","772","541","326","59","4"
"서울특별시 종로구 사직동(1111053000)","8,990","8,990","454","641","1,038","1,425","1,408","1,463","1,253","701","505","97","5","3,961","3,961","227","265","428","630","608","675","583","290","211","42","2","5,029","5,029","227","376","610","795","800","788","670","411","294","55","3"
"서울특별시 종로구 삼청동(1111054000)","2,233","2,233","83","162","237","284","310","344","378","253","149","31","2","1,061","1,061","38","93","117","131","153","160","176","118","61","13","1","1,172","1,172","45","69","120","153","157","184","202","135","88","18","1"
"서울특별시 종로구 부암동(1111055000)","9,072","9,072","384","801","1,082","1,147","1,391","1,614","1,367","758","442","82","4","4,287","4,287","190","444","549","554","627","735","630","352","187","19","0","4,785","4,785","194","357","533","593","764","879","737","406","255","63","4"
"서울특별시 종로구 평창동(1111056000)","17,280","17,280","980","1,524","1,966","2,032","2,478","3,099","2,812","1,420","796","163","10","8,027","8,027","532","720","974","970","1,116","1,377","1,314","650","326","46","2","9,253","9,253","448","804","992","1,062","1,362","1,722","1,498","770","470","117","8"
"서울특별시 종로구 무악동(1111057000)","7,976","7,976","527","946","822","804","1,306","1,442","1,101","603","377","44","4","3,657","3,657","233","401","386","378","605","721","512","265","140","16","0","4,319","4,319","294","545","436","426","701","721","589","338","237","28","4"
"서울특별시 종로구 교남동(1111058000)","9,695","9,695","733","772","1,133","1,398","1,697","1,624","1,202","708","385","43","0","4,447","4,447","361","364","519","634","794","782","545","281","156","11","0","5,248","5,248","372","408","614","764","903","842","657","427","229","32","0"
"서울특별시 종로구 가회동(1111060000)","3,836","3,836","149","305","402","513","614","683","549","363","222","36","0","1,790","1,790","89","156","188","241","285","329","253","157","82","10","0","2,046","2,046","60","149","214","272","329","354","296","206","140","26","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,700","6,700","156","220","964","968","840","1,098","1,323","707","374","46","4","4,032","4,032","86","107","466","568","517","741","900","434","195","16","2","2,668","2,668","70","113","498","400","323","357","423","273","179","30","2"
"서울특별시 종로구 종로5.6가동(1111063000)","5,343","5,343","147","194","1,160","897","561","844","801","462","242","35","0","2,811","2,811","66","88","534","503","314","485","477","216","118","10","0","2,532","2,532","81","106","626","394","247","359","324","246","124","25","0"
"서울특별시 종로구 이화동(1111064000)","6,981","6,981","164","323","1,588","1,205","790","1,008","946","573","337","47","0","3,290","3,290","84","170","709","590","399","497","451","255","118","17","0","3,691","3,691","80","153","879","615","391","511","495","318","219","30","0"
"서울특별시 종로구 혜화동(1111065000)","16,014","16,014","497","1,272","4,344","2,009","1,881","2,353","1,724","1,088","736","105","5","7,710","7,710","241","630","2,158","1,056","909","1,133","830","429","290","33","1","8,304","8,304","256","642","2,186","953","972","1,220","894","659","446","72","4"
