행정구역,시도,시군구,행정구,읍면동,행정구역코드,age_20,age_30,age_40,age_50,age_60,age_70
서울특별시 종로구 창신제1동,서울특별시,종로구,0,창신1동,1111067000,600,496,834,993,776,575
서울특별시 종로구 창신제2동,서울특별시,종로구,0,창신2동,1111068000,886,793,1654,1495,1225,1017
서울특별시 종로구 창신제3동,서울특별시,종로구,0,창신3동,1111069000,912,802,1168,1092,847,896
서울특별시 종로구 숭인제1동,서울특별시,종로구,0,숭인1동,1111070000,817,811,1087,995,861,793
서울특별시 종로구 숭인제2동,서울특별시,종로구,0,숭인2동,1111071000,1910,1030,1534,1404,1127,2594
서울특별시 중구 신당제5동,서울특별시,중구,0,신당5동,1114065000,1816,1410,1743,1481,1294,1573
서울특별시 용산구 원효로제1동,서울특별시,용산구,0,원효로1동,1117056000,4179,2655,2185,1805,1293,3057
서울특별시 용산구 원효로제2동,서울특별시,용산구,0,원효로2동,1117057000,2340,1934,2238,1860,1653,2101
서울특별시 용산구 이촌제1동,서울특별시,용산구,0,이촌1동,1117063000,2905,4181,4371,3115,3052,3031
서울특별시 용산구 이촌제2동,서울특별시,용산구,0,이촌2동,1117064000,1283,1117,1305,1280,1208,936
서울특별시 용산구 이태원제1동,서울특별시,용산구,0,이태원1동,1117065000,1153,797,908,1007,923,893
서울특별시 용산구 이태원제2동,서울특별시,용산구,0,이태원2동,1117066000,1670,1320,1242,1177,1333,1294
서울특별시 성동구 왕십리제2동,서울특별시,성동구,0,왕십리2동,1120052000,2815,2328,2615,2254,1792,2438
서울특별시 성동구 행당제1동,서울특별시,성동구,0,행당1동,1120056000,2246,2052,2167,1770,1516,2424
서울특별시 성동구 행당제2동,서울특별시,성동구,0,행당2동,1120057000,3450,3511,3969,3079,2808,2955
서울특별시 성동구 성수1가제1동,서울특별시,성동구,0,성수1가1동,1120065000,2841,2010,2755,2444,1459,2389
서울특별시 성동구 성수1가제2동,서울특별시,성동구,0,성수1가2동,1120066000,2315,1718,1842,1631,1335,1919
서울특별시 성동구 성수2가제1동,서울특별시,성동구,0,성수2가1동,1120067000,2415,1874,2536,2735,1863,2003
서울특별시 성동구 성수2가제3동,서울특별시,성동구,0,성수2가3동,1120069000,1839,1325,1572,1474,1267,1728
